# Compiled data by Philip Kraaijenbrink,,,,
# sources:,,,,
# - Kathmandu temperature:,,,,
#   ECMWF ERA5 (through KNMI climate explorer),,,,
# - Rotterdam temperature:,,,,
#   KNMI rotterdam station daily data,,,,
# - Global temperature data:,,,,
#   NASA (https://climate.nasa.gov/vital-signs/global-temperature/),,,,
# - CO2 data:,,,,
#   Atmospheric CO2 Concentrations Mauna Loa Observatory (NOAA, through https://www.co2.earth/annual-co2),,,
,,,,
Year,T_ktm,T_rdam,T_glob,CO2_glob
1950,,,-0.18,
1951,,,-0.07,
1952,,,0.01,
1953,,,0.08,
1954,,,-0.13,
1955,,,-0.14,
1956,,,-0.19,
1957,,10.2,0.04,
1958,,9.69,0.06,
1959,,10.3,0.03,315.97
1960,,9.99,-0.02,316.91
1961,,10.2,0.06,317.64
1962,,8.43,0.04,318.45
1963,,8.14,0.05,318.99
1964,,9.52,-0.2,319.62
1965,,9.18,-0.11,320.04
1966,,9.92,-0.06,321.38
1967,,10.4,-0.02,322.16
1968,,9.47,-0.08,323.04
1969,,9.73,0.06,324.62
1970,,9.81,0.03,325.68
1971,,9.82,-0.08,326.32
1972,,9.29,0.01,327.45
1973,,9.76,0.16,329.68
1974,,9.93,-0.07,330.18
1975,,10.2,-0.01,331.11
1976,,10.1,-0.1,332.04
1977,,9.92,0.18,333.83
1978,,9.2,0.07,335.4
1979,21.4782,8.89,0.17,336.84
1980,20.93205,9.5,0.26,338.75
1981,20.79864,9.66,0.32,340.11
1982,20.67983,10.3,0.14,341.45
1983,20.61204,10.3,0.31,343.05
1984,21.15166,9.78,0.16,344.65
1985,21.54358,8.78,0.12,346.12
1986,21.38684,9.07,0.18,347.42
1987,21.26979,9.13,0.32,349.19
1988,21.83102,10.7,0.39,351.57
1989,21.57351,11.1,0.27,353.12
1990,21.5379,11.1,0.45,354.39
1991,21.69852,9.68,0.41,355.61
1992,21.02775,10.7,0.22,356.45
1993,21.91387,9.97,0.23,357.1
1994,22.03606,10.8,0.32,358.83
1995,21.97974,10.7,0.45,360.82
1996,22.0984,8.8,0.33,362.61
1997,21.67976,10.5,0.47,363.73
1998,22.34207,10.7,0.61,366.7
1999,22.35793,11.2,0.39,368.38
2000,21.55688,11.1,0.4,369.55
2001,22.46469,10.6,0.54,371.14
2002,22.61805,11,0.63,373.28
2003,22.20378,10.7,0.63,375.8
2004,22.24417,10.6,0.54,377.52
2005,22.16412,10.9,0.68,379.8
2006,22.12904,11.4,0.64,381.9
2007,22.34846,11.4,0.67,383.79
2008,22.62315,10.7,0.55,385.6
2009,22.40781,10.8,0.66,387.43
2010,23.80925,9.38,0.73,389.9
2011,21.88388,11.2,0.61,391.65
2012,22.39541,10.5,0.65,393.85
2013,22.29366,9.92,0.69,396.52
2014,22.7019,11.9,0.75,398.65
2015,22.52816,11.1,0.9,400.83
2016,22.94259,11.1,1.02,404.24
2017,22.13851,11.3,0.93,406.55
2018,23.24496,11.5,0.85,408.52
2019,21.87683,,,
